identifier,translation,other-identifier,author-name,num-authors,author-gender,author-nationality,book-title,publ-first,publ-edition,publ-ref,publ-decade,publisher,collection,subgenre,type,ISBN,status,read,Bemerkungen,protagonists,narration,setting-type,setting-place,setting-time,translator(s),title-original,publ-original,Startkorpus,Duplikat prüfen
Kalmes_Meilleur,yes,,"Kalmes, Susan",1,female,,Le meilleur des deux mondes,,1989,1989,1980s,Harlequin,Duo Romance,sentimental,populaire,2-280-80439-5,tei,,,,,,,,(unknown),The Sweetheart Waltz,1988,,
Kidd_Promenade,yes,,"Kidd, Flora",1,female,,Promenade au bord de l'Hudson,,1989,1989,1980s,Harlequin,Collection Horizon,sentimental,populaire,9-782280-016735,tei,,,,,,,,,,,,
Knoll_Comedie,yes,,"Knoll, Patricia",1,female,,La comédie des erreurs,,1989,1989,1980s,Harlequin,Collection Horizon,sentimental,populaire,2-280-01695-8,tei,,,,,,,,,,,,
Krentz_Harmony,yes,,"Krentz, Jayne Ann",1,female,,Harmony Valley,,1989,1989,1980s,Harlequin,Duo Desir,sentimental,populaire,9-78228-0852852,tei,,Titelblatt rausgerissen; Dépôt légal: Dezember 1989; Kapitel nicht durchgehend erkannt,,,,,,(unknown),(unknown),,,
Leone_Ete,yes,,"Leone, Laura",1,female,,Un été à Oak Hill,,1989,1989,1980s,Harlequin,Rouge Passion,sentimental,populaire,2-280-12271-5,tei,no,"
",,,,,,,,,,
LewisThompson_Emeraude,yes,,"Lewis Thompson, Vicki",1,female,,L'émeraude talisman,,1989,1989,1980s,Harlequin,Duo Desir,sentimental,populaire,9-782280-852838,tei,,kein Titelblatt; Dépot légal novembre 1989,,,,,,,,,,
Linz_Reve,yes,,"Linz, Cathie",1,female,,"Un rêve, pourquoi pas?",,1989,1989,1980s,Harlequin,Rouge Passion,sentimental,populaire,978-2-280-12292-4,tei,no,Titelblatt fehlt; Dépôt légal : décembre 1989; Kapitel nicht erkannt,,,,,,,,,,
Lowell_Espionne,yes,,"Lowell, Elizabeth",1,female,,L'espionne du mandarin,,1989,1989,1980s,Harlequin,Grands Romans,sentimental,populaire,2-280-11030-X,tei,,,,,,,,"Fournier, Daniel",Tell me no lies,,,
Lyons_Ciel,yes,,"Lyons, Mary",1,female,,Ciel de colère sur Antigua,,1989,1989,1980s,Harlequin,Azur,sentimental,populaire,2-280-00706-1,tei,no,,,,,,,,,,,
Macomber_Peur,yes,,"Macomber, Debbie",1,female,,Qui a peur de J.D. Norris?,,1989,1989,1980s,Harlequin,Duo Romance,sentimental,populaire,2-280-80427-1,tei,no,,,,,,,,,,,
Marceau_Oiseau,no,,"Marceau, Félicien",1,male,,Un oiseau dans le ciel,,1989,1989,1980s,Gallimard,Folio,blanche,blanche,2-07-038389-X,tei,,,,,,,,,,,,
Marshall_Victoire,yes,,"Marshall, Bevlyn",1,female,,Victoire Victoria,,1989,1989,1980s,Harlequin,Duo Harmonie,sentimental,populaire,2-280-83226-7,tei,,Kapitel nicht durchgehend erkannt,,,,,,"Neddam, Martine",The Pride of his Life,,,
McElhaney_Rendez-vous,yes,,"McElhaney, Carole",1,female,,Rendez-vous sous les étoiles,,1989,1989,1980s,Harlequin,Duo Romance,sentimental,populaire,2-280-80438-7,tei,,,,,,,,(unknown),A Suce of Heaven,,,
Miller_Sirene,yes,,"Miller, Linda Lael",1,female,,La sirène aux yeux d'or,,1989,1989,1980s,Harlequin,Rouge Passion,sentimental,populaire,978-2-280-12293-1,tei,no,Titelblatt fehlt; Dépôt légal : décembre 1989,,,,,,,,,,
Modiano_Vestiaire,no,rv0239,"Modiano, Patrick",1,male,FRA,Vestiaire de l'enfance,1989,,1989,1980s,(unknown),(unknown),blanche,blanche,(unknown),tei,,,,,,,,,,,,
Myers_Gold,yes,,"Myers, Helen R.",1,female,,Gold'n Hart Café,,1989,1989,1980s,Harlequin,Duo Romance,sentimental,populaire,2-280-80442-5,tei,,,,,,,,(unknown),Donovan's Mermaid,,,
Pappano_Cache,yes,,"Pappano, Marylin",1,female,,Où se cache Christopher Morgan?,,1989,1989,1980s,Harlequin,Suspense,policier,populaire,2-280-16663-1,tei,,,,,,,,"Charlès, Éveline",Guilt by Association,,,
Pennac_Petite,no,rv0682,"Pennac, Daniel",1,male,FRA,Malaussene 3 Petite Marchande,1989,,1989,1980s,(unknown),(unknown),policier,populaire,(unknown),tei,,,,,,,,,,,,
